"filename", "language", "Properties", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "XML", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\CD4\bio-nocode-platform\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\CD4\bio-nocode-platform\README.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 18, 45
"c:\Users\CD4\bio-nocode-platform\docs\项目说明.md", "Markdown", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 75, 207
"c:\Users\CD4\bio-nocode-platform\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\CD4\bio-nocode-platform\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\CD4\bio-nocode-platform\package-lock.json", "JSON", 0, 0, 9437, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9438
"c:\Users\CD4\bio-nocode-platform\package.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\CD4\bio-nocode-platform\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\CD4\bio-nocode-platform\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\CD4\bio-nocode-platform\public\sw.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 5, 41
"c:\Users\CD4\bio-nocode-platform\scripts\benchmark.ts", "TypeScript", 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 50, 74, 548
"c:\Users\CD4\bio-nocode-platform\src\components\AuthGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\CD4\bio-nocode-platform\src\components\PageLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\CD4\bio-nocode-platform\src\components\RouteErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 1, 10, 91
"c:\Users\CD4\bio-nocode-platform\src\components\builder\ChatPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 18, 179
"c:\Users\CD4\bio-nocode-platform\src\components\builder\ComponentStyleDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 5, 25, 285
"c:\Users\CD4\bio-nocode-platform\src\components\builder\ConfigPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 302, 0, 0, 14, 27, 343
"c:\Users\CD4\bio-nocode-platform\src\components\builder\EditableFormPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 6, 21, 231
"c:\Users\CD4\bio-nocode-platform\src\components\builder\ExperimentTypeSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 1, 7, 72
"c:\Users\CD4\bio-nocode-platform\src\components\builder\FieldEditorDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 3, 32, 288
"c:\Users\CD4\bio-nocode-platform\src\components\editor\PropertiesPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 330, 0, 0, 6, 26, 362
"c:\Users\CD4\bio-nocode-platform\src\components\editor\useEditorStore.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
